csa,city,csa_label,lat,long,TOTAL,RE_UNK,RE_AI_AN,RE_AS,RE_BL_AA,RE_MR,RE_WH,RE_HI_LA,RE_NH_PI,AB_UNK,AB_LT18,AB_18_24,AB_25_39,AB_40_54,AB_55_64,AB_GT65,Individual,Family,ST_PH,ST_IH,OC_PH,OC_IH
Alhambra,Alhambra,City of Alhambra,34.08395998,-118.1355054,33,0,1,2,7,0,4,19,0,0,0,21,3,7,1,1,33,0,0,33,0,11
Altadena,Unincorporated,Unincorporated - Altadena,34.19348215,-118.1356718,25,2,0,2,1,1,3,16,0,0,0,2,18,4,1,0,25,0,0,25,0,3
Athens Village,Unincorporated,Unincorporated - Athens Village,33.91978317,-118.273697,174,7,2,3,103,2,24,33,0,1,0,22,63,50,33,5,173,1,0,174,0,121
Athens-Westmont,Unincorporated,Unincorporated - Athens-Westmont,33.93403128,-118.3024838,67,0,1,0,36,2,11,17,0,0,15,3,4,6,16,23,51,16,37,30,1,1
Baldwin Hills,Los Angeles,Los Angeles - Baldwin Hills,34.01482486,-118.3560942,36,0,0,0,21,0,12,3,0,0,0,0,0,0,9,27,36,0,36,0,9,0
Baldwin Park,Baldwin Park,City of Baldwin Park,34.08283961,-117.972145,88,3,0,2,18,1,25,39,0,0,0,1,5,26,35,21,88,0,0,88,0,19
Bassett,Unincorporated,Unincorporated - Bassett,34.0571444,-117.9774063,213,1,4,11,30,4,54,109,0,0,0,12,79,69,42,11,212,1,0,213,0,67
Bell,Bell,City of Bell,33.98005806,-118.179784,385,4,1,7,120,2,74,174,3,0,0,7,104,141,100,33,383,2,0,385,0,191
Bellflower,Bellflower,City of Bellflower,33.88801979,-118.127136,219,5,1,2,27,4,79,99,2,0,29,22,50,68,35,15,179,40,87,132,0,42
Boyle Heights,Los Angeles,Los Angeles - Boyle Heights,34.03814773,-118.2053304,936,21,7,11,369,19,137,367,5,12,203,30,229,183,205,74,605,331,577,359,3,97
Burbank,Burbank,City of Burbank,34.1878976,-118.3234899,83,5,1,0,35,0,17,24,1,0,11,52,7,6,4,3,66,17,32,51,0,26
Canoga Park,Los Angeles,Los Angeles - Canoga Park,34.20809561,-118.60083,134,5,1,1,28,2,60,36,1,0,0,1,36,47,35,15,134,0,0,134,0,39
Carthay,Los Angeles,Los Angeles - Carthay,34.07124054,-118.3728937,91,2,0,1,42,1,23,22,0,0,0,1,13,17,34,26,91,0,0,91,0,22
Central,Los Angeles,Los Angeles - Central,34.01639853,-118.2581412,40,0,0,0,27,1,2,10,0,0,7,8,9,11,5,0,31,9,40,0,0,0
Century City,Los Angeles,Los Angeles - Century City,34.05271484,-118.4193992,85,1,1,2,35,0,39,7,0,0,0,0,4,15,32,34,85,0,0,85,0,7
Century Palms/Cove,Los Angeles,Los Angeles - Century Palms/Cove,33.93264106,-118.267985,219,16,0,0,145,7,3,47,1,1,110,20,56,15,13,4,54,165,16,203,0,56
Chatsworth,Los Angeles,Los Angeles - Chatsworth,34.25661759,-118.5960883,57,3,0,0,4,2,39,9,0,1,0,1,8,21,22,4,56,1,0,57,0,26
Chinatown,Los Angeles,Los Angeles - Chinatown,34.06145983,-118.2409687,153,10,0,1,57,3,14,67,1,0,0,6,43,68,28,8,153,0,0,153,0,120
Cloverdale/Cochran,Los Angeles,Los Angeles - Cloverdale/Cochran,34.03894103,-118.3560074,98,3,0,2,46,0,19,27,1,0,0,11,37,18,28,4,95,3,0,98,0,43
Commerce,Commerce,City of Commerce,33.99634406,-118.1519116,37,0,0,0,15,1,11,9,1,0,0,0,4,14,16,3,37,0,0,37,0,0
Compton,Compton,City of Compton,33.89293695,-118.2275295,215,1,0,0,115,8,18,73,0,0,110,16,40,28,14,7,44,171,0,215,0,95
Crenshaw District,Los Angeles,Los Angeles - Crenshaw District,34.02305658,-118.3358765,37,1,1,0,19,3,3,10,0,0,20,2,10,3,2,0,4,33,0,37,0,17
Crestview,Los Angeles,Los Angeles - Crestview,34.04959498,-118.3786575,63,2,0,0,27,3,15,16,0,0,24,1,15,10,5,8,22,41,11,52,0,16
Culver City,Culver City,City of Culver City,34.00579664,-118.3968069,57,0,0,0,28,5,6,18,0,0,30,3,15,9,0,0,6,51,0,57,0,23
Del Rey,Los Angeles,Los Angeles - Del Rey,33.98976373,-118.4243119,38,0,0,1,14,0,14,9,0,0,0,0,5,10,17,6,37,1,38,0,1,0
Downey,Downey,City of Downey,33.93786052,-118.1311495,2,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,2,0,0,2,0,0
Downtown,Los Angeles,Los Angeles - Downtown,34.04472376,-118.2578043,2177,77,17,41,966,46,485,533,12,4,54,127,506,762,535,189,2082,95,785,1392,19,297
East Los Angeles,Unincorporated,Unincorporated - East Los Angeles,34.03267163,-118.1691862,50,0,0,0,5,0,3,42,0,3,25,3,10,4,4,1,9,41,50,0,0,0
