csa,lat,long,es_20200107_roc,th_20200107_roc,psh_20200107_roc,es_20200108_roc,th_20200108_roc,psh_20200108_roc,es_20200109_roc,th_20200109_roc,psh_20200109_roc,es_20200210_roc,th_20200210_roc,psh_20200210_roc,es_20200211_roc,th_20200211_roc,psh_20200211_roc,es_20200212_roc,th_20200212_roc,psh_20200212_roc,es_20200301_roc,th_20200301_roc,psh_20200301_roc,es_20200302_roc,th_20200302_roc,psh_20200302_roc,es_20200303_roc,th_20200303_roc,psh_20200303_roc,es_20200404_roc,th_20200404_roc,psh_20200404_roc,es_20200405_roc,th_20200405_roc,psh_20200405_roc,es_20200406_roc,th_20200406_roc,psh_20200406_roc,es_cur_csa,inflow_202001,inflow_202002,inflow_202003,inflow_202004
Alhambra,34.08395998,-118.1355054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,3
Altadena,34.19348215,-118.1356718,66.67,0,20,34.45,0,20,34.45,0,20,34.45,0,20,34.45,0,20,34.45,0,20,34.45,0,20,34.45,0,20,34.45,0,20,34.45,0,20,34.45,0,20,34.45,0,20,5,5,5,5,5
Artesia,33.86757664,-118.0806299,-11.76,0,0,-11.76,0,0,-11.76,0,0,-11.76,0,0,-11.76,0,0,-11.76,0,0,-11.76,0,0,-11.76,0,0,-11.76,0,0,-11.76,0,0,-11.76,0,0,-11.76,0,0,60,60,60,60,60
Athens-Westmont,33.93403128,-118.3024838,-57.14,0,0,-57.14,0,0,-57.14,0,0,-57.14,0,0,-57.14,0,0,-57.14,0,0,-57.14,0,0,-57.14,0,0,-57.14,0,0,-57.14,0,0,-57.14,0,0,-57.14,0,0,3,3,3,3,3
Bassett,34.0571444,-117.9774063,25,0,0,25,0,0,25,0,0,25,0,0,25,0,0,25,0,0,25,0,0,25,0,0,25,0,0,25,0,0,25,0,0,25,0,0,5,5,5,5,5
Bell,33.98005806,-118.179784,-21.21,175,0,-21.21,140,0,-21.21,140,0,-21.21,140,0,-21.21,140,0,-21.21,140,0,-21.21,140,0,-21.21,140,0,-21.21,140,0,-21.21,140,0,-21.21,140,0,-21.21,140,0,26,37,37,37,37
Bellflower,33.88801979,-118.127136,0,-100,0,0,-150,0,0,-150,0,0,-150,0,0,-150,0,0,-150,0,0,-150,0,0,-150,0,0,-150,0,0,-150,0,0,-150,0,0,-150,0,14,14,14,14,14
Boyle Heights,34.03814773,-118.2053304,21.62,0,0,21.62,0,0,21.62,0,0,21.62,0,0,21.62,0,0,21.62,0,0,21.62,0,0,21.62,0,0,21.62,0,0,21.62,0,0,21.62,0,0,21.62,0,0,45,45,45,45,45
Burbank,34.1878976,-118.3234899,60,50,0,60,50,0,60,50,0,60,50,0,60,50,0,60,50,0,60,50,0,60,50,0,60,50,0,60,50,0,60,50,0,60,50,0,8,11,11,11,11
Canoga Park,34.20809561,-118.60083,60,0,0,60,0,0,60,0,0,60,0,0,60,0,0,60,0,0,60,0,0,60,0,0,60,0,0,60,0,0,60,0,0,60,0,0,8,8,8,8,8
Carthay,34.07124054,-118.3728937,-86.67,0,0,-86.67,0,0,-86.67,0,0,-86.67,0,0,-86.67,0,0,-86.67,0,0,-86.67,0,0,-86.67,0,0,-86.67,0,0,-86.67,0,0,-86.67,0,0,-86.67,0,0,8,8,8,8,8
Central,34.01639853,-118.2581412,-80,0,0,-80,0,0,-80,0,0,-80,0,0,-80,0,0,-80,0,0,-80,0,0,-80,0,0,-80,0,0,-80,0,0,-80,0,0,-80,0,0,1,1,1,1,1
Century City,34.05271484,-118.4193992,4.55,0,0,4.55,0,0,4.55,0,0,4.55,0,0,4.55,0,0,4.55,0,0,4.55,0,0,4.55,0,0,4.55,0,0,4.55,0,0,4.55,0,0,4.55,0,0,23,23,23,23,23
Century Palms/Cove,33.93264106,-118.267985,-57.14,0,0,-77.14,0,0,-77.14,0,0,-77.14,0,0,-77.14,0,0,-77.14,0,0,-77.14,0,0,-77.14,0,0,-77.14,0,0,-77.14,0,0,-77.14,0,0,-77.14,0,0,3,3,3,3,3
Cheviot Hills,34.04127711,-118.4088008,-89.74,0,0,-99.74,0,0,-99.74,0,0,-99.74,0,0,-99.74,0,0,-99.74,0,0,-99.74,0,0,-99.74,0,0,-99.74,0,0,-99.74,0,0,-99.74,0,0,-99.74,0,0,4,4,4,4,4
