Latitude,Longitude,City,Community,ProjectName,Q1Enrollments,Q2Enrollments,Q3Enrollments,TotalEnrollments
34.01537602,-118.49816,Santa Monica,Santa Monica,Homeless Program HACLA Section 8,2,0,1,3
33.96431401,-118.277918,Los Angeles,Florence,Family Emergency Housing Program,1,6,2,11
34.093923,-118.331165,Los Angeles,Hollywood,CA0994 Housing Works Home First,17,20,1,38
34.05455399,-117.751251,Pomona,Pomona,CA0462 Shelter Plus Care,16,3,1,28
33.999395,-118.278531,Los Angeles,South Park,Broadway Apartments,0,3,1,5
33.97993901,-118.300441,Los Angeles,Harvard Park,CA0997 Epworth Apartments,0,0,0,0
34.07737402,-118.290689,Los Angeles,East Hollywood,La Kretz Villas,2,0,1,5
34.23186734,-118.4540925,Panorama City,Panorama City,CA0347 Willis Avenue Apartments,0,3,3,9
34.06396,-118.268351,Los Angeles,Westlake,Bonnie Brae Village,0,0,0,0
34.04783807,-118.2454958,Los Angeles,Downtown,LA Residence LAHSA - Supportive Services,0,1,0,2
34.03923598,-118.243991,Los Angeles,Downtown,CA0409 Lamp Lodge - Supportive Services,0,0,2,2
34.01278999,-118.27611,Los Angeles,Historic South-Central,CES Crisis Housing Program P2H,4,32,2,52
34.17084402,-118.375527,North Hollywood,North Hollywood,NoHo Senior Villas,0,0,0,1
34.10257199,-118.322214,Los Angeles,Hollywood,Villas at Gower,0,1,0,11
34.04694499,-118.248092,Los Angeles,Downtown,New Genesis Apartments,0,0,1,1
34.57924102,-118.124382,Palmdale,Palmdale,AVD FSC Rapid Re-Housing,179,53,2,352
34.15824501,-118.133439,Pasadena,Pasadena,USHS FSC Rapid Re-Housing,34,5,2,116
33.99796001,-118.477857,Venice,Venice,STJ FSC Rapid Re-housing,46,10,0,183
34.046006,-118.246125,Los Angeles,Downtown,Emergency Transitions Program,0,0,0,0
34.21335502,-118.388056,North Hollywood,Sun Valley,LFH FSC Rapid Re-Housing,136,69,10,406
34.01537602,-118.49816,Santa Monica,Santa Monica,CA0401 Permanent Supportive Housing,0,2,0,4
34.06798201,-118.27383,Los Angeles,Westlake,Housing for Health,2,0,1,10
34.06402999,-118.291446,Los Angeles,Koreatown,CA0324 Good Samaritan Bonus,5,3,1,15
34.26109934,-118.3999285,Los Angeles,Pacoima,CA0374 Osborne Place Apartments - Supportive Services,1,0,6,7
34.01723801,-118.257257,Los Angeles,Historic South-Central,28th Street Apartments,0,0,0,0
34.058711,-118.27519,Los Angeles,Westlake,Parkview on the Park Apartments,0,0,0,0
34.21335502,-118.388056,North Hollywood,Sun Valley,DHS Housing for Health,5,33,2,48
34.07748101,-118.289011,Los Angeles,East Hollywood,Housing for Health,0,16,10,37
34.04283824,-118.2434449,Los Angeles,Downtown,HAUS,10,3,0,17
34.04354499,-118.247583,Los Angeles,Downtown,Star Apartments,4,6,4,16
34.04384699,-118.244336,Los Angeles,Downtown,CA0996 Gateway Apartments,2,5,1,8
34.04449802,-118.244318,Los Angeles,Downtown,CA0430 Golden West Permanent Housing Program,2,5,2,16
34.03845802,-118.243914,Los Angeles,Downtown,Ford Apartments,5,3,3,15
34.07748101,-118.289011,Los Angeles,East Hollywood,HACLA Tenant Based Supportive Housing TBSH,0,0,0,0
33.95879462,-118.0849578,Santa Fe Springs,Santa Fe Springs,TWC FSC Crisis Housing,40,47,15,131
33.95879462,-118.0849578,Santa Fe Springs,Santa Fe Springs,TWC FSC Rapid Re-Housing,65,43,0,250
33.73503098,-118.291423,San Pedro,San Pedro,HIS FSC Rapid Re-Housing,24,5,0,76
34.040065,-118.320932,Los Angeles,Arlington Heights,PAT FSC Rapid Re-Housing,112,51,1,390
33.99550001,-118.438134,Culver City,Culver City,UBH FSC Crisis Housing SPA 5,2,21,7,39
34.04652401,-118.264109,Los Angeles,Downtown,DMH Interim Housing Zahn,4,5,0,16
33.96811101,-118.283025,Los Angeles,Vermont Knolls,CRCD Apartments,0,0,1,1
34.220701,-118.489005,Van Nuys,Van Nuys,CA1110 HACLA Shelter Plus Care Program,0,0,0,0
34.70143999,-118.13771,Lancaster,Lancaster,SSVF RRH,51,67,16,163
34.04664802,-118.208936,Los Angeles,Boyle Heights,SSVF RRH,145,88,63,325
34.09611399,-118.311945,Los Angeles,Hollywood,SSVF RRH,149,196,101,480
34.05011402,-118.257697,Los Angeles,Downtown,SSVF RRH,22,47,13,112
34.218184,-118.369551,Sun Valley,Sun Valley,Freehab,0,0,0,0
34.04664802,-118.208936,Los Angeles,Boyle Heights,VASH Program,23,2,0,27
34.23084101,-118.367805,Sun Valley,Sun Valley,DHS Palo Verde Apartments,2,0,1,6
34.04686699,-118.249017,Los Angeles,Downtown,PBV Rosslyn Apartments,0,4,8,13
34.27119206,-118.4171668,Pacoima,Pacoima,Winter Shelter Program Pacoima SPA 2,12,58,10,90
33.95736101,-118.277967,Los Angeles,Broadway-Manchester,CES Crisis Housing Program C4L,0,28,0,32
33.91222199,-118.264927,Los Angeles,Willowbrook,CA1104 Avalon Apartments,0,0,0,0
33.96003601,-118.415816,Los Angeles,Westchester/Playa,Measure H 205 Pathways to Independence A,0,2,0,3
34.03472502,-118.1616742,Los Angeles,East Los Angeles,Measure H 204 Pathways to Independence B,3,5,1,11
33.76961698,-118.192008,Long Beach,Long Beach,SSVF RRH LB,0,2,0,2
33.76627302,-118.1914,Long Beach,Long Beach,SSVF RRH 20CA017,76,150,54,299
34.04887199,-118.227871,Los Angeles,Boyle Heights,Womens Shelter Program,0,0,0,1
34.013654,-118.489091,Santa Monica,Santa Monica,DMH Interim Housing Samoshel,2,2,1,5
34.01278999,-118.27611,Los Angeles,Historic South-Central,Exodus Reserve Beds,2,6,0,8
34.04411899,-118.245439,Los Angeles,Downtown,Housing For Health Access Emergency,6,6,4,23
34.04283824,-118.2434449,Los Angeles,Downtown,CES Bridge Housing Program Reserved Village,1,0,0,2
34.01278999,-118.27611,Los Angeles,Historic South-Central,CES Bridge Housing Program Reserved,2,13,0,16
34.21256552,-118.3889442,Los Angeles,Sun Valley,CES Bridge Housing Program Path to Home Reserved,1,6,2,12
34.07748101,-118.289011,Los Angeles,East Hollywood,CES Bridge Housing Hollywood Reserved,2,0,0,7
34.07748101,-118.289011,Los Angeles,East Hollywood,CES Crisis Housing Program Los Angeles,1,0,0,2
33.98934409,-118.1639331,Bell,Bell,CES Bridge Housing Program Reserved,1,5,2,9
33.99045901,-118.309132,Los Angeles,Chesterfield Square,CES Crisis Housing Program CITY,8,20,1,30
34.1749543,-118.3172747,Burbank,Burbank,CES Transitional Housing Program Hope of the Valley SPA 2,5,7,0,13
33.92454021,-118.254409,Los Angeles,Green Meadows,CA0466 South Central Access Center - Supportive Services,1,0,1,6
34.15824501,-118.133439,Pasadena,Pasadena,USHS Housing For Health,22,4,2,28
33.95879462,-118.0849578,Santa Fe Springs,Santa Fe Springs,CA0465 Shelter Plus Care,0,0,0,0
34.03675498,-118.436977,Los Angeles,West Los Angeles,WLA Harm Reduction,0,0,0,0
34.02235102,-118.199398,Los Angeles,Boyle Heights,Beswick Guy Gabaldon,2,1,0,5
34.07303898,-118.029404,El Monte,El Monte,El Monte Veterans Village,2,1,1,6
34.05240741,-118.4584795,Los Angeles,Veterans Administration,Sepulveda 1 - PSH,0,1,2,5
34.01465299,-118.490351,Santa Monica,Santa Monica,DHS Step Up on Colorado,3,0,0,3
34.01537602,-118.49816,Santa Monica,Santa Monica,DHS Scattered Sites,18,18,12,63
34.01537602,-118.49816,Santa Monica,Santa Monica,DMH Step Up on Second Bonus,0,2,6,8
34.01537602,-118.49816,Santa Monica,Santa Monica,DHS Step Up on Second Bonus,0,0,2,2
34.06040699,-118.281667,Los Angeles,Westlake,DMH Gettlove Bonus,0,0,0,1
34.06040699,-118.281667,Los Angeles,Westlake,DHS Gettlove Bonus,0,0,0,0
