Latitude,Longitude,City,Community,ProjectName,Q1Enrollments,Q2Enrollments,Q3Enrollments
34.01537602,-118.49816,Santa Monica,Santa Monica,Homeless Program HACLA Section 8,2,NULL,1
33.96431401,-118.277918,Los Angeles,Florence,Family Emergency Housing Program,1,6,2
34.093923,-118.331165,Los Angeles,Hollywood,CA0994 Housing Works Home First,17,20,1
34.05455399,-117.751251,Pomona,Pomona,CA0462 Shelter Plus Care,16,3,1
33.999395,-118.278531,Los Angeles,South Park,Broadway Apartments,NULL,3,1
33.97993901,-118.300441,Los Angeles,Harvard Park,CA0997 Epworth Apartments,NULL,NULL,NULL
34.07737402,-118.290689,Los Angeles,East Hollywood,La Kretz Villas,2,NULL,1
34.23186734,-118.4540925,Panorama City,Panorama City,CA0347 Willis Avenue Apartments,NULL,3,3
34.06396,-118.268351,Los Angeles,Westlake,Bonnie Brae Village,NULL,NULL,NULL
34.04783807,-118.2454958,Los Angeles,Downtown,LA Residence LAHSA - Supportive Services,NULL,1,NULL
34.03923598,-118.243991,Los Angeles,Downtown,CA0409 Lamp Lodge - Supportive Services,NULL,NULL,2
34.01278999,-118.27611,Los Angeles,Historic South-Central,CES Crisis Housing Program P2H,4,32,2
34.17084402,-118.375527,North Hollywood,North Hollywood,NoHo Senior Villas,NULL,NULL,NULL
34.10257199,-118.322214,Los Angeles,Hollywood,Villas at Gower,NULL,1,NULL
34.04694499,-118.248092,Los Angeles,Downtown,New Genesis Apartments,NULL,NULL,1
34.57924102,-118.124382,Palmdale,Palmdale,AVD FSC Rapid Re-Housing,179,53,2
34.15824501,-118.133439,Pasadena,Pasadena,USHS FSC Rapid Re-Housing,34,5,2
33.99796001,-118.477857,Venice,Venice,STJ FSC Rapid Re-housing,46,10,NULL
34.046006,-118.246125,Los Angeles,Downtown,Emergency Transitions Program,NULL,NULL,NULL
34.21335502,-118.388056,North Hollywood,Sun Valley,LFH FSC Rapid Re-Housing,136,69,10
34.01537602,-118.49816,Santa Monica,Santa Monica,CA0401 Permanent Supportive Housing,NULL,2,NULL
34.06798201,-118.27383,Los Angeles,Westlake,Housing for Health,2,NULL,1
34.06402999,-118.291446,Los Angeles,Koreatown,CA0324 Good Samaritan Bonus,5,3,1
34.26109934,-118.3999285,Los Angeles,Pacoima,CA0374 Osborne Place Apartments - Supportive Services,1,NULL,6
34.01723801,-118.257257,Los Angeles,Historic South-Central,28th Street Apartments,NULL,NULL,NULL
34.058711,-118.27519,Los Angeles,Westlake,Parkview on the Park Apartments,NULL,NULL,NULL
34.21335502,-118.388056,North Hollywood,Sun Valley,DHS Housing for Health,5,33,2
34.07748101,-118.289011,Los Angeles,East Hollywood,Housing for Health,NULL,16,10
34.04283824,-118.2434449,Los Angeles,Downtown,HAUS,10,3,NULL
34.04354499,-118.247583,Los Angeles,Downtown,Star Apartments,4,6,4
34.04384699,-118.244336,Los Angeles,Downtown,CA0996 Gateway Apartments,2,5,1
34.04449802,-118.244318,Los Angeles,Downtown,CA0430 Golden West Permanent Housing Program,2,5,2
34.03845802,-118.243914,Los Angeles,Downtown,Ford Apartments,5,3,3
34.07748101,-118.289011,Los Angeles,East Hollywood,HACLA Tenant Based Supportive Housing TBSH,NULL,NULL,NULL
33.95879462,-118.0849578,Santa Fe Springs,Santa Fe Springs,TWC FSC Crisis Housing,40,47,15
33.95879462,-118.0849578,Santa Fe Springs,Santa Fe Springs,TWC FSC Rapid Re-Housing,65,43,NULL
33.73503098,-118.291423,San Pedro,San Pedro,HIS FSC Rapid Re-Housing,24,5,NULL
34.040065,-118.320932,Los Angeles,Arlington Heights,PAT FSC Rapid Re-Housing,112,51,1
33.99550001,-118.438134,Culver City,Culver City,UBH FSC Crisis Housing SPA 5,2,21,7
34.04652401,-118.264109,Los Angeles,Downtown,DMH Interim Housing Zahn,4,5,NULL
33.96811101,-118.283025,Los Angeles,Vermont Knolls,CRCD Apartments,NULL,NULL,1
34.220701,-118.489005,Van Nuys,Van Nuys,CA1110 HACLA Shelter Plus Care Program,NULL,NULL,NULL
34.70143999,-118.13771,Lancaster,Lancaster,SSVF RRH,51,67,16
34.04664802,-118.208936,Los Angeles,Boyle Heights,SSVF RRH,145,88,63
34.09611399,-118.311945,Los Angeles,Hollywood,SSVF RRH,149,196,101
34.05011402,-118.257697,Los Angeles,Downtown,SSVF RRH,22,47,13
34.218184,-118.369551,Sun Valley,Sun Valley,Freehab,NULL,NULL,NULL
34.04664802,-118.208936,Los Angeles,Boyle Heights,VASH Program,23,2,NULL
34.23084101,-118.367805,Sun Valley,Sun Valley,DHS Palo Verde Apartments,2,NULL,1
34.04686699,-118.249017,Los Angeles,Downtown,PBV Rosslyn Apartments,NULL,4,8
34.27119206,-118.4171668,Pacoima,Pacoima,Winter Shelter Program Pacoima SPA 2,12,58,10
33.95736101,-118.277967,Los Angeles,Broadway-Manchester,CES Crisis Housing Program C4L,NULL,28,NULL
